original_description,amount
Preauthorized Debit STATE FARM RO 2,44083
GEICO PREM COLL CUSTOMER NAME,40118
PAYPAL           INST XFER  GROUPON INC     WEB ID: PAYPALSI77,9739
Signature POS Debit DATE WA 888-802-3080 Amazon Music*MV S0 SEQ# XXNUMBER NUMBER,2510
Recur Debit Card Purchase MICROSOFT XBOX             MSBILL INFO    WA,1637
DNH*GODADDY.COM 480-5058855 AZ USA,5799
PLANET FIT/CLUB FEES/111720/PPD,3362
PROGRESSIVE *INSURANCE DDA POS PURCHASE      NUMBER,6283
INSTACART SUBSCRIPTION,31102
MICROSOFT*XBOX LIVE GO MSBILL.INFO WA,19996
affirm.com Payme affirm.com ST-HASH WEB ID: NUMBER,15237
STATE FARM  INSURANCE,43442
GEICO            PREM COLL                  PPD ID: NUMBER,53630
Kindle Unltd*L51HI52C3,3138
ANNUAL MEMBERSHIP FEE,29845
POS Debit - Visa Check Card 3850 - GOOGLE*GOOGLE STOR INTERNET C,663
GROUPON INC GROUPON.COM IL HASH,7537
AFFIRM.COM PAYME AFFIRM.COM CUSTOMER NAME,19767
ACH Payment PROG COUNTY MUT INS PREM BRANCH03DEBIT  ACH,55503
COMENITY PAY JT - WEB PYMT / ACH Withdrawal,15708
Kindle Unltd*M430I2JG 866-321-8851 WA        09/22,3427
GOOGLE *Google St 05/28 PURCHASE g.co/helppay#,5529
INSTACART 8882467822 CA,32798
ACH Payment PLANET FIT CLUB FEES 706-391-6209,6299
Bill Pmt W/D: #NUMBER NNT MICROSOFT -- MSBILL.INFO WA Card NUMBER,625
GODADDY.COM         480-505-8855        AZ,11417
PROGRESSIVE *INSURANCE 06/05 PURCHASE 800-776-4737 OH,55779
DNH*GODADDY.COM,17693
Point Of Sale Withdrawal Kindle Unltd*MF42F 866-321-8851 WAUS,3138
COMENITY PAY OH WEB PYMT 060320 PNUMBER CUSTOMER NAME,16644
POS Debit - Visa Check Card NUMBER - MICROSOFT*XBOX MSBILL.INFO WA,5045
Progressive,11150
Amazon Music*MJ8OO9FW1 888-802-3080 WA,1253
PROG UNIVERSAL INS PREM XXXXXNUMBER Travi,47017
ACH Transaction - COMENITY PAY BH WEB PYMT NUMBER,1256323
BEST BUY MHT NUMBER PORTLAND OR,62826
ANNUAL MEMBERSHIP FEE,29845
ANNUAL MEMBERSHIP FEE,46810
CLUB FEES PLANET FIT XXX-XXX-NUMBER,6930
PROG DIRECT INS  INS PREM CUSTOMER NAME XXXXXNUMBER CUSTOMER NAME,100110
Microsoft*Xbox,2689
GROUPON INC GROUPON.COM IL HASH,17276
AMAZON MUSIC*MV2GG6I888-802-3080        WA,4932
COMENITY PAY OH [WEB] WEB PYMT Indiv ID: PNUMBER,78540
INSTACART,2595
GEICO *AUTO 800-841-3000 DC NUMBER,18253
"DBT/WDR*NUMBERGroupon, Inc.              312-288-6424   IL",6531
PlaystationNetw  NUMBER,3427
WITHDRAWAL @ Amazon Music*MU0O17UB2 Amazon Music*MU0O1 888 802 3080 WAUS,2510
PAYPAL INST XFER MICROSOFT XBOX,6720
ACH Withdrawal PLANET FIT CLUB FEES,3142
Amazon Music*LK7N83BO3,2510
Debit Card W/D: DEBIT CARD IA ATT*TV 800-288-2020 TX Date 05/18/20 0 NUMBER Card NUMBER,29958
ACH Transaction - GEICO PREM COLL NUMBER,17398
DEBIT FOR  PLANET FIT       CLUB FEES   CO REF- NUMBER,3142
DNH*GODADDY.COM,4709
Subscription     Acorns     HASH           WEB ID: NUMBER,628
PROG COUNTY MUT  INS PREM   POL  NUMBER  WEB ID: NUMBER,141686
AMAZON MUSIC*AKAMAZON MUSIC*AK20T5K63888-802-3080          WADBT PURCHASE ON DATE @ 04:51CARD NBR: NUMBER,1253
PAYPAL           INST XFER  GOOGLE SOCIAL I WEB ID: PAYPALSI77,3138
Payment to Microsoft Corporation,1568
COMENITY PAY DG DES:WEB PYMT ID:PNUMBER INDN:CUSTOMER NAME CO ID:XXXXXNAME WEB,39625
DOORDASH*HOT TABLE  SAN FRANCISCO       CA,7106
STATE FARM  INSURANCE,34507
GOOGLE*GOOGLE STORAGE INTERNET CA,625
PP*GOOGLE SMALL GIANT,625
POS Debit - Visa Check Card NUMBER - MICROSOFT*XBOX MSBILL.INFO WA,9422
GEICO AUTO          (800)841-3000       DC,36779
GROUPON INC         877-788-7858        IL,2815
KINDLE UNLTD*2885D66A1 866-321-8851 WA HASH,3405
COMCAST CABLE COMM,45010
GROUPON INC,11310
POS Debit - Visa Check Card NUMBER - STATE FARM INSURA 800-956-631,52088
WITHDRAWAL affirm.com Payme TYPE: affirm.com ID: *NUMBER CO: affirm.com Payme %% ACH ECC WEB %% ACH Trace * NUMBER,32157
COMENITY PAY JT 800-395-5714 WEB PYMT,39270
DNH*GODADDY.COM,3823
BESTBUYCOM805699932554 888-BESTBUY MN        03/30,252107
"DIRECT WITHDRAWAL, ACORNS INVEST TRANSFER",1935
GOOGLE *Google Storage,3138
PLANET FIT 508-835-2551 CLUB FEES 508-835-2551,12271
ANNUAL MEMBERSHIP FEE,21677
GOOGLE *Google Storage,625
PLAYSTATION NETWORK,3107
ANNUAL MEMBERSHIP FEE,29845
Payment to AFFIRM COM PAYMENTS,188496
GEICO  *AUTO 800-841-3000 DC                 03/21,259565
POS Debit - Visa Check Card NUMBER - PLAYSTATIONNETWORK 800-345766,5652
Kindle Svcs*N68X74WC3,2196
COMENITY PAY SB WEB PYMT 010420 PNUMBER CUSTOMER NAME,144479
DNH*GODADDY.COM,15695
GROUPON INC,32515
At&T*Bill Payment,72784
GOOGLE *Google Storage Mountain View CA,625
GEICO AUTO          (800)841-3000       DC,28689
Kindle Unltd*IS7KG4K83,3138
POS Withdrawal (ELN) COMCAST CABLE COMM COMCAST CABLE COMM 800-COMCAST NH(5791),42635
MICROSOFT XBOX,6280
ACH Debit GEICO - PREM COLL,3918
Withdrawal @ Amazon Music*9J3UF5F73 888 802 3080 WAUS Trace #NUMBER,2510
Debit: Signature purchase from NUMBER PLAYSTATION NETWORK 800-345-7669 US,3138
Microsoft*Xbox,6550
GEICO  *AUTO,48827
COMCAST CABLE COMM,14520
BURGER KING #12016,2695
Card - Kindle Unltd M31VW6W13 866 321 8851 WA,3396
Point Of Sale Withdrawal  BURGER KING #11066 COOS BAY       ORUS,5881
COMENITY PAY SB  WEB PYMT,587
BEST BUY         PAYMENT    ***********NUMBER,31416
Kindle Svcs*9 M9 Oy9 Jk3,4304
Comcast Xfinity,41281
GROUPON INC,17342
Visa Checking DNH*GODADDY.COM 480-5058855 AZ Date 06/08/20 0 0 NUMBER Card 15 #NUMBER,24545
GEICO *AUTO,11134
DOORDASH DASHPASS,3138
BURGER KING #44 BRIDGEWATER /MA US CARD PURCHASE,1605
INSTACART HTTPSINSTACAR CA                   10/02,29468
INSTACART,3487
Subscription Acorns 100520 HASH EMAIL,628
INSTACART SUBSCRIPTION,3138
ACH Withdrawal BEST BUY,31416
HLU*Hulu NUMBER -U HULU.COM/BILLCA,311
Electronic Withdrawal COMENITY / PAY VI 800-395-5714 - WEB PYMT,10996
INSTACART HTTPSINSTACARCA,37969
ANNUAL MEMBERSHIP FEE,141372
UNITED FIN CAS   INS PREM                   PPD ID: NUMBER,28504
PLANET FIT       CLUB FEES                  PPD ID:NUMBER,6908
GROUPON INC         877-788-7858        IL,5809
PP*GOOGLE GOOGLE STORA NUMBER CA,939
ACH Transaction - GEICO GEICO PYMT NUMBER,29044
Debit Card W/D: Visa Debit Amazon Music*2T4GF79V0 888-802-3080 WA Date 10/26/20 NUMBER NUMBER Card NUMBER,2661
Point Of Sale Withdrawal NUMBER GROUPON INC            GROUPON.COM  ILUS,1568
AT&T*BILL PAYMENT,20270
COMENITY PAY IL 800-395-5714 PHONE PYMT,47124
ANNUAL MEMBERSHIP FEE,29845
DOORDASH DASHPASS,3138
DOORDASH DASHPASS 11/09 PURCHASE WWW.DOORDASH. CA,3138
DEBIT CARD DEBIT INSTACART 88824 - MEMO=DEBIT CARD DEBIT INSTACART 8882467822 CA,22280
Card Purchase - KINDLE UNLTD*7D4303083,3138
PAYPAL           INST XFER  GOOGLE GOOGLE S WEB ID: PAYPALSI77,625
Amazon Music*MJ7PW1LU2,1348
BURGER KING #3684,2130
Kindle Svcs*MY9WR7G12,2287
ANNUAL MEMBERSHIP FEE,21677
POS Withdrawal (FIS) Amazon Music*MV Amazon Music*MV8R08 888-802-3080 WA(NUMBER),1329
INSTACART SUBSCRIPTION,3138
POS Debit - Visa Check Card NUMBER - GEICO *AUTO 800-841-3000 DC,25475
PAYPAL *GODADDY.COM 402-935-7733 AZ,1882
COMENITY PAY VI TYPE: WEB PYMT CO: COMENITY PAY VI,28010
Point Of Sale Withdrawal NUMBER BESTBUYPHONEPL00026104 800-4335778  MNUS,1882
STATE FARM INSURANCEBLOOMINGTON         IL,51057
PROG DIRECT INS  INS PREM   ***********CUSTOMER NAME,9296
PLANET FIT 843-388-8284,6484
ANNUAL MEMBERSHIP FEE,30788
GEICO  *AUTO,19264
ACH DEBIT XXXXXNUMBER PLANET FIT CLUB FEES,8479
ANNUAL MEMBERSHIP FEE,141372
STATE FARM RO 27 SFPP                       PPD ID: NUMBER ,29534
Subscription DES:Acorns ID:HASH INDN:EMAIL CO ID:XXXXXNUMBER WEB,942
ANNUAL MEMBERSHIP FEE,29845
POS Withdrawal (FIS) Microsof 1 / Microsoft Way Redmond WA(5884),1998
ANNUAL MEMBERSHIP FEE,21677
COMENITY PAY VI WEB PYMT PNUMBER,10996
GOOGLE *Google Storage 8558363987 CA,625
GOOGLE *GOOGLE STORAGE 855-836-3987 CA NUMBER,6280
Microsoft*Xbox Redmond WA                    01/25,6783
AC-STATE FARM RO 27-SFPP,20857
PROG DIRECT INS  INS PREM                   PPD ID: NUMBER,19713
GOOGLE *Google Storage,625
Withdrawal PROG DIRECT INS / TYPE: INS PREM DATA: BRANCH13DEBIT ACH CO: PROG DIRECT INS,19739
ACH Transaction - Acorns Invest Transfer NUMBER,3142
- affirm.com Payme affirm.com,12017
Kindle Svcs*MS2YW4NW2,3296
"Amazon Music*XK20S7RD3 - 888-802-3080, WA Reference Number: NUMBER Merchant Name: Amazon Music*XK20S7RD3",1253
DOORDASH DASHPASS WWW.DOORDASH.CA,3138
Payment to Groupon Inc,6491
INST XFER PAYPAL MICROSOFT XBOX,3346
External Withdrawal PLANET FIT / 518-822-8200 - CLUB FEES 518-822-8200,6908
"Best Buy Co., Inc.",43389
ACH Transaction - PLANET FIT CLUB FEES ,6280
DOORDASH DASHPASS,1568
PLANET FIT       CLUB FEES  ***********NUMBER,3204
ANNUAL MEMBERSHIP FEE,46810
Point Of Sale Withdrawal  GOOGLE *Google Sto     Mountain ViewCAUS,625
AFFIRM.COM PAYMENTS      AFFIRM.COM   CA,10785
PROGRESSIVE *INSUR CHK CARD PUR 800-776-4737 OH NUMBER POS,93934
COMENITY PAY OH  WEB PYMT CUSTOMER NAME,31416
ELECTRONIC WITHDRAWAL / Acorns Invest Transfer 091520,2510
UNITED FIN CAS   INS PREM                   PPD ID: NUMBER,70981
KINDLE SVCS*MY9WA3EG866-321-8851        WA,4081
AMZ*Hulu LLC,1882
ACH Electronic Debit - affirm.com Payme affirm.com ST-HASH,15375
AT&T*BILL PAYMENT,26726
INSTACART           SAN FRANCISCO       CA,34256
COMENITY PAY CP DES:WEB PYMT ID:PNUMBER INDN:CUSTOMER NAME CO ID:XXXXXNUMBER WEB,9425
SIE*PLAYSTATIONNETWORK 877-971-7669 CA ,3138
DOORDASH*SUBWAY     SAN FRANCISCO       CA,5268
GOOGLE*GOOGLE STORAG G.CO HELPPAY#,625
ANNUAL MEMBERSHIP FEE,29845
Kindle,3138
Kindle Svcs*FK9IV7X23,3453
#NUMBER COMCAST CABLE COMM 800-COMCAST CO,61220
ACH Electronic Debit - Acorns Invest Transfer HASH ,1769
GROUPON INC 01/04 PURCHASE GROUPON.COM IL,942
PLAYSTATION NETWORK,6657
"Payment to Best Buy Co., Inc.",194964
DNH*GODADDY.COM,18363
DNH*GODADDY.COM 480-5058855 AZ USA,5799
DEBIT FOR  ACORNS INVEST    TRANSFER    CO REF- HASH,7854
AT&T*BILL PAYMENT 08/05 PURCHASE 800-331-0500 TX,66124
UNITED FIN CAS   INS PREM                   PPD ID: NUMBER,87597
DNH*GODADDY.COM,6211
INSTACART,58333
POS Withdrawal (FIS) DNH*GODADDY.COM DNH*GODADDY.COM 480-x8855 AZ(NUMBER),3823
MEMBERSHIP FEE SEP 20-AUG 21,31102
Sony Playstation,3138
COMCAST             800-934-6489        MI,45613
Point Of Sale Withdrawal NUMBER GEICO *AUTO 800-841-3000 DCUS No Category,56586
GROUPON INC GROUPON.COM IL                   02/08,15080
Kindle Svcs*NE4H87SS3,3380
Kindle Svcs*M788Y62L2,2007
ORIG CO NAME:COMENITY PAY JT        ORIG ID:NUMBER DESC DATE:081420 CO ENTRY DESCR:WEB PYMT  SEC:WEB    TRACE#:NUMBER  EED:NUMBER   IND ID:PNUMBER              IND NAME:CUSTOMER NAME                                                                                        800-395-5714 TRN: NUMBER,23373
COMENITY PAY JT  WEB PYMT   PNUMBER WEB ID: NUMBER,49229
HLU*Hulu NUMBER-U HULU.COM/BILLUS,314
ACH Withdrawal: affirm.com Payme TYPE: affirm.com CO: affirm.com Payme,11357
Withdrawal Debit Kindle Unltd*M46884K62 866-321-8851 WA Date 09/27/20 NUMBER,3138
STATE FARM  INSURANCE,64805
Progressive County Mutual Branch Debit Insurance Premium DEBIT,209949
"DIRECT WITHDRAWAL, ACORNS INVEST TRANSFER",3286
SUBSCRIPTION ACORNS - HASH DEBIT,942
"AUTOMATIC WITHDRAWAL, STATE FARM",51107
AMAZON MUSIC*B79499F03 888-802-3080 WA XGSJXMXOQN4,2510
DBT CRD NUMBER 02/11/20 NUMBER PP*GOOGLE GOOGLE S 402-935-7733 CA CARD# NUMBER,625
AMAZON MUSIC*M45QC2Z888-802-3080        WA,2510
Microsoft*Xbox msbill.info WA                08/06,6798
Point Of Sale Withdrawal EUREST GEICO  xNUMBER CHEVY CHASE   MD,710
COMCAST BELLINGH CS 1X   800-266-2278 WA,63614
"Payment to GoDaddy.com, LLC",6695
COMCAST OF HOUSTON  713-341-1000        TX,59473
GROUPON INC         877-788-7858        IL,2554
ACH Electronic Debit - Acorns Invest Transfer HASH,7854
STATE FARM RO 27 SFPP 06 S XXXXXXNUMBER,31092
Subscription Acorns HASH ,314
External Withdrawal STATE FARM RO 27  - SFPP,48016
COMCAST CABLE COMM,83676
PAYPAL           INST XFER  PLAYSTATION     WEB ID: PAYPALTOKEN,20260
Point Of Sale Withdrawal  COMCAST                800-934-6489 MIUS,25042
COMENITY PAY OH TYPE WEB PYMT I - MEMO=COMENITY PAY OH TYPE WEB PYMT ID NUMBER DATA 8003955714 CO COMENITY PAY OH ACH ECC WEB ACH Trace NUMBER,11313
affirm.com Payme affirm.com ***********HASH,4423
Debit Card Withdrawal: DEBIT CARD Amazon Music*BO6A38FP3 440 Terry Ave N 888 Date 04/30/20 NUMBER NUMBER Card NUMBER,3138
"Amazon Music*MK2IZ4711, 888-802-3080, WAUS",1652
GEICO   AUTO,21086
ACH TRANS / affirm.com Payme;101420;affirm.com,91012
VISA DDA PUR NUMBER     COMCAST                     800 COMCAST   * NJ,12563
Payment to Sony Interactive Entertainment Network America LLC,6751
Payment to Hulu,4081
COMENITY PAY VI DES:WEB PYMT ID:PNUMBER INDN:CUSTOMER NAME CO ID:NUMBER WEB,31416
Withdrawal Debit PlaystationNetwork 800- CA Date 09/07/20 NUMBER Card NUMBER,20213
MICROSOFT*XBOX      REDMOND,1722
COMCAST CABLE COMM  800-COMCAST         NH,36373
PURCHASE 0303 GROUPON INC GROUPON.COM IL NUMBER,18535
PURCHASE 0202 GROUPON INC GROUPON.COM IL NUMBER,12252
"Payment to GoDaddy.com, LLC",3767
Microsoft 1 Microsoft WayRedmondWAUS,20402
Withdrawal Debit INSTACART HTTPSINSTACAR CA Date 04/26/20 NUMBER Card 15 #NUMBER,44947
PLAYSTATION NETWORK,18846
AT&T*BILL PAYMENT,115249
MICROSOFT*XBOX,3327
COMENITY PAY JT  RETRY PYMT ***********NUMBER,10996
ATT Payment XXXXXHASH,48591
COMENITY PAY OH WEB PYMT,157080
STATE FARM INSURANCEBLOOMINGTON         IL,48107
PURCHASE AUTHORIZED ON 03/21 BEST BUY #1760 ANCHORAGE AK PNUMBER CARD NUMBER,29176
ANNUAL MEMBERSHIP FEE,141372
INSTACART,12356
Comcast,32343
COMENITY PAY CS  WEB PYMT   PNUMBER WEB ID: NUMBER,10996
Withdrawal PROGRESSIVE INS CO: PROGRESSIVE INS,2513
Amazon Music*MS2ZU59D2   888-802-3080 WA,2510
Payment to Hulu,4078
ANNUAL MEMBERSHIP FEE,29845
AT&T*BILL PAYMENT 8003310500 TX,27907
GOOGLE *Google Storage,625
COMCAST CABLE C 800-COMCAST /NH US CARD PURCHASE,40140
GOOGLE *GOOGLE STORA855-836-3987        CA,3138
ACH TRANS - STATE FARM BANK ;070220;PAYMENT,188496
Amazon Music*MV32M0ZA0,1329
ELECTRONIC/ACH DEBIT ACORNS INVEST    TRANSFER   HASH            NUMBER  ,7709
WEB PYMT   COMENITY PAY OH PNUMBER,46527
Microsoft*Xbox               Redmond      WA,6673
MICROSOFT*EA ACCESS 1 MON,1662
MICROSOFT XBOX REDMOND WA,3327
KINDLE UNLTD*147WM1T866-321-8851        WA,3327
Payment to Groupon Inc,3770
"DIRECT WITHDRAWAL, ACORNS INVEST TRANSFER",6283
ANNUAL MEMBERSHIP FEE,141372
Kindle Unltd*B59PC4CC 866-321-8851 WA        03/22,3427
Amazon Music*LD1ME5U23,5045
WEB INITIATED PAYMENT AT Acorns Invest Transfer HASH 061820,1850
BEST BUY         PAYMENT    NUMBER WEB ID: CITICTP,32987
Payment to Microsoft Corporation,4709
DOORDASH DASHPASS 6506819470 CA,3138
Payment to Microsoft Corporation,5020
Subscription     Acorns     HASH          WEB ID: NUMBER,628
Withdrawal Visa Check Card DNH*GODADDY.COM 480-5058855 AZ Date 08/12/20 NUMBER NUMBER,1568
"BEST BUY, El Centro, CA Sale",11439
GOOGLE *Google Storage,625
Burger King,1816
KINDLE SVCS*MC2600Y31 866-321-8851 WA HASH,3987
MERCHANT PAYMENT NNT BURGER KING - 442736 28037 WIXOM ROAD WIXOM MI ON 111320,2626
GODADDY.COM         480-505-8855        AZ,3767
Check Card Purchase / INSTACART HTTPSINSTACAR CA Date 05/31/20 NUMBER NUMBER Card NUMBER,37630
INSTACART 8882467822 CA,20662
Point Of Sale Withdrawal  Microsoft*Xbox     msbill.info    WAUS,3138
GOOGLE *Google Storage 855-836-3987 CA,625
GROUPON INC GROUPON.COM IL,7009
External Withdrawal STATE FARM RO 08 - CPC-CLIENT No Category,160774
POS Debit - Visa Check Card NUMBER - AMAZON MUSIC*MF84Q 888-802-30,2639
Withdrawal COMENITY PAY VI TYPE: WEB PYMT ID: XXXXXXNUMBER DATA: 800-395-5714 CO: COMENITY PAY VI,10741
Point Of Sale Withdrawal  GROUPON INC            GROUPON.COM  ILUS,2994
"Payment to GoDaddy.com, LLC",8372
GOOGLE *Google Storage,625
ANNUAL MEMBERSHIP FEE,31102
XX6219 PURCHASE 03/04 19:27 Kindle Unltd*G86 866-321-8851 WA NUMBER NUMBER,3365
ANNUAL MEMBERSHIP FEE,29845
DOORDASH.COM,4791
BURGER KING #10 1103 HYATT STREEGAFFNEY     SC ,2677
COMCAST ONLINE PMT WEB,3142
INST XFER PAYPAL HULU INTERNET P,1715
Subscription DES:Acorns ID:NUMBER INDN:EMAIL CO ID:XXXXXNUMBER WEB,314
ANNUAL MEMBERSHIP FEE,29845
MICROSOFT*SUBSC ONE MICROSOFT WAY MSBILL.INFO,5099
Kindle Svcs*M76IW4SJ0,2381
Subscription Acorns 010620 HASH CUSTOMER NAME ,314
ANNUAL MEMBERSHIP FEE,46810
PAYPAL INST XFER WEB HULU,1882
DEBIT FOR ACORNS INVESTING TRANSFER CO REF- HASH,31
Microsoft*Xbox,10009
ANNUAL MEMBERSHIP FEE,31102
DNH*GODADDY.COM 480-5058855 /AZ US CARD PURCHASE            ,5708
ANNUAL MEMBERSHIP FEE,172788
POINT OF SALE DEBIT Amazon Music*H69D6            888-802-3080 WA,2510
ACH Transaction - PROG COUNTY MUT INS PREM NUMBER,120216
GROUPON INC GROUPON.COM Digital Account Number XXXXXXXXXXXXNUMBER ,5322
Groupon Inc,3770
Debit Card Purchase DATE 05:19p NUMBER Kindle Svcs*B78S06593 866-321-8851 WA 20102,939
DNH*GODADDY.COM 480-5058855 AZ,7851
AMAZON MUSIC*Q25JR49H3 888-802-3080 WA HASH,1253
AT&T*BILL PAYMENT 800-331-0500 TX,44042
Amazon Music*V90V62WU3,2661
#NUMBER COMCAST CABLE COMM 800-COMCAST CO,64513
ANNUAL MEMBERSHIP FEE,31102
AMAZON MUSIC*288IU5X888-802-3080        WA,5027
ACH Withdrawal: COMENITY PAY BH TYPE: WEB PYMT CO: COMENITY PAY BH,31416
PLAYSTATION NETWORK 800-345-7669        CA,8416
DBT CRD NUMBER 08/26/20 HASH PLAYSTATION NETWORK 800-345-7669  CA C#**NUMBER,5655
HLU*Hulu NUMBER-U,3767
XXNUMBER VISA PURCHASE BESTBUY RENEWA00 800-XXXNUMBER MN NUMBER XXNUMBER,3453
affirm.com Payme,23113
WITHDRAW / Subscription Acorns 110420,314
Progressive County Mutual Insurance Premium Donal,28328
ACH Transaction - Acorns Invest Transfer NUMBER ,2683
Kindle Svcs*F087O4CJ3,3063
Kindle Svcs*US96Q7HQ3,4015
MICROSOFT*XBOX LIVE GO MSBILL.INFO WA,8671
affirm.com Payme affirm.com ST-HASH CUSTOMER NAME,88913
COMCAST CALIFORNIA  800-COMCAST         CA,9422
INSTACART*SHOPRITE HTTPSINSTACAR CA          09/16,41419
ANNUAL MEMBERSHIP FEE,29845
BESTBUYCOMNUMBER RICHFIELD           MN,102963
Point Of Sale Withdrawal NUMBER Kindle Unltd*HG3NY1BG3 866-321-8851 WAUS,3138
MY BEST BUY MASTERCARD Bill Payment,81948
BESTBUYCOMNUMBERRICHFIELD           MN,20307
CHKOUT HLU*HULU 1024HULU.COM/BILL       CA,3767
COMCAST OF HOUSTON 713-341-1000 TX           07/17,33191
"Withdrawal Debit Card CHECK CARD, MEMO: Amazon Music*MK0BF3P51 888-802-3080 WADate DATE NUMBER Card NUMBER",330
Amazon Music*707EP7WZ3,1429
"PAYMENT MICROSOFT*MICROSOFT 365 F MSBILL - MEMO=BillPayment, Withdrawal, Processed",3236
MICROSOFT*EA ACCESS 1 MON,1568
GODADDY.COM         480-505-8855        AZ,368
PAYPAL           INST XFER  GODADDY.COM     WEB ID: PAYPALSI77,5708
Amazon Music*MM09C62J 888-802-3080 WA        08/26,2510
affirm.com Payme ID: NUMBER  CO: affirm.com Payme,266241
Debit Card purchase ATT*BILL PAYMENT NUMBER 800-288-2020 TX,36461
COMCAST CALIFORNIA        800-COMCAST CA,14134
External W/D STATE FARM RO 27  - SFPP,27467
AplPay DOORDASH*SWEESAN FRANCISCO       CA,13085
Point Of Sale Withdrawal / DOORDASH DASHPASS 6506819470 CAUS,3138
PAYPAL           INST XFER  GODADDY.COM     WEB ID: PAYPALSI77,6198
Kindle Unltd*MU8GH2R30,3138
PROGRESSIVE *INSURANCE   800-776-4737 OH,15708
GODADDY.COM         480-505-8855        AZ,4709
POS #NUMBER *POS* PROGRESSIVE *INSURA OH 800-776-4737 DEB CARD WITHDRAWAL,65684
VISA - 03/18 BESTBUYCOMNUMBER,67384
Kindle Unltd*MF41I8P6 866-321-8851 WA        08/01,3138
Amazon Music*MJ6MI2 / 888-802-3080 WAUS : POS Transaction,2510
Amazon Music*M48GA4XR2,4709
GELSONS VIA INSTACART,31372
HLU*HULU NUMBER HULU.COM/BILLCA - NUMBER ,5180
INSTACART*ALDI HTTPSINSTACARCA,23562
Recurring Debit Purchase 03/13 card NUMBER Microsoft*xbox Msbill.info Wa,3138
BURGER KING  3179,4555
VISA - 01/23 AMAZON MUSIC*0F8MK9,1345
DEBIT PURCHASE Merchant_5812 / DOORDASH DASHPASS NUMBER A NUMBER 0000 Jan 29,3138
GROUPON INC GROUPON.COM IL Withdrawal Debit Card Signature Debit Date 01/01/20 NUMBER Card NUMBER Card Transaction,2658
Kindle Unltd*ZM8D429D3,3138
MICROSOFT*STORE           MSBILL.INFO WA,19688
GODADDY.COM         480-505-8855        AZ,10992
Payment to Microsoft Corporation,625
AMAZON MUSIC*MV9NL5N888-802-3080        WA,4081
PROG SELECT INS ID: NUMBER CO: PROG SELECT INS,39644
BEST BUY TYPE: PAYMENT  ID: CITICTP  CO: BEST BUY ACH ECC WEB,47124
Debit Card BURGER KING #13724 OMAHA NE Date 11/10/20 ,2673
DOORDASH DASHPASS   SAN FRANCISCO       CA,3138
BESTBUYPHONEPLNUMBER MINNEAPOLIS MN,9418
PROGRESSIVE INS 800-776-4737 OH Terminal ID: NUMBER Serial #: NUMBER,141535
AMAZON MUSIC*MU2Q91M888-802-3080        WA,2765
BURGER KING  6780 SPEARFISH SD SIGN PURCH 09/18/20 NUMBER,2463
MICROSOFT*XBOX -- / MSBILL.INFO WAUS : POS Transaction,3138
DDA PUR Microsoft* Microsoft*Xbox Redmond WA   #NUMBER,1665
GROUPON INC,1568
Check Card: PAYPAL *HULU 402-935-7733 CA 01/20/20Card 17 #4807,18441
GODADDY.COM         480-505-8855      AZ,3509
ANNUAL MEMBERSHIP FEE,29845
COMCAST CHICAGO 800-COMCAST IL,26427
INSTACART SUBSCRIPTION HTTPSINST,3138
POS Transaction / PLAYSTATION NETWORK 800-345-7669 CAUS,5652
BESTBUYCOMNUMBER,11285
affirm.com Payme/affirm.com CUSTOMER NAME,21168
MICROSOFT*XBOX LIVE REDMOND,3138
COMENITY PAY SB  WEB PYMT   PNUMBER WEB ID: NUMBER,9425
DNH*GODADDY.COM 480-5058855 AZ,11417
GROUPON INC GROUPON.COM IL HASH,4002
ANNUAL MEMBERSHIP FEE,23562
ACH Debit Acorns Invest Transfer NUMBER,6283
ANNUAL MEMBERSHIP FEE,46810
BURGER KING  27568,1967
ANNUAL MEMBERSHIP FEE,29845
ANNUAL MEMBERSHIP FEE,29845
Payment to Microsoft Corporation,6280
DOORDASH*RAISING CANSAN FRANCISCO       CA,6472
DNH*GODADDY.COM 09/02 PURCHASE 480-5058855 AZ,9422
Bill Payment Withdrawal: #888888 MICROSOFT*XBOX LIVE GOLD -- MSBILL.INFO WA,7851
DEBIT FOR  PLANET FIT       CLUB FEES   CO REF- NUMBER,7785
XXNUMBER POS PURCHASE 10/14 11:17 XXNUMBER NNT BURGER KING TUPELO MS,3396
Point Of Sale Withdrawal Microsoft 1 Microsoft Way Redmond WAUS,18846
"Withdrawal EFT PROG DIRECT INS, MEMO: TYPE: INS PREM ID: NUMBER CO: PROG DIRECT INS",33257
GROUPON,317
"CK CARD MICROSOFT*XBOX, REDMOND, WA.",6720
PLAYSTATION NETWORK 800-345-7669        CA,23939
Bill payment Withdrawal - PAYPAL *PLAYSTATION,7059
BESTBUYCOMNUMBER 888-BESTBUY MN        03/26,8401
GEICO  *AUTO,26327
COMENITY PAY NS DES:WEB PYMT ID:PNUMBER INDN:CUSTOMR NAME CO ID:XXXXXNUMBER WEB,55349
Kindle Unltd,3349
- PLANET FIT CLUB FEES,7245
COMCAST 800-COMCAST NJ 47377982WA93HFNL,154475
Withdrawal MICROSOFT*EA ACCESS 1 M MSBILL.INFO WA Date 07/01/20 NUMBER NUMBER,1722
External Withdrawal GEICO  - PREM COLL,19651
PLAYSTATION NETWORK      800-345-7669 CA,6280
